Player,Position,Price,form
Emoni Bates,SF,6,5.275
Ben Sheppard,SF,6,5.1
Drew Peterson,PF,6,5
Sidy Cissoko,SG,6,4.975
Oscar Tshiebwe,C,6,4.9
Boban Marjanovic,C,6,4.25
Xavier Moon,SG,6,4.25
Lester Quinones,SG,6,4.125
Jalen Pickett,SG,6,3.325
Josh Minott,PF,6,2.9
Chris Livingston,SF,6,2.65
Amari Bailey,PG,6,2.5
Micah Potter,C,6,2.5
Seth Lundy,SG,6,2.45
Julian Phillips,SF,6,1.8
Charlie Brown Jr.,SG,6,1.75
Cole Swider,PF,6,1.675
Jerome Robinson,SG,6,1.6
Wendell Moore Jr.,SG,6,1.575
Colby Jones,SG,6,1.575
Garrett Temple,SG,6,1.5
Johnny Juzang,SG,6,1.5
JD Davison,PG,6,1.25
Hunter Tyson,SF,6,1.25
Moussa Diabate,PF,6,1.25
Brice Sensabaugh,SF,6,1.25
Thanasis Antetokounmpo,SF,6,1.025
Ryan Arcidiacono,PG,6,0.95
Jordan Miller,SF,6,0.75
Jacob Toppin,SF,6,0.75
Kendall Brown,SG,6,0
Isaiah Wong,PG,6,0
Maxwell Lewis,SF,6,0
Daishen Nix,PG,6,0
Ricky Council IV,SG,6,0
Jalen Slawson,PF,6,-0.5
Mouhamed Gueye,C,6,
Jordan Walsh,SF,6,
Henri Drell,SF,6,
Ty Jerome,PG,6,
Jay Huff,C,6,
Malcolm Cazalon,SG,6,
Stanley Umude,SG,6,
Jared Rhoden,SG,6,
Vít Krejčí,SG,6,
Dereon Seabron,SG,6,
Jaylen Martin,SF,6,
Dylan Windler,SF,6,
Keyontae Johnson,SF,6,
Terquavion Smith,PG,6,
Kevin Obanor,PF,6,
Javon Freeman-Liberty,SG,6,
Matt Ryan,PF,6,
GG Jackson II,PF,6,
